date,country,campaign_name,adset_name,cost,impressions,clicks 
2018-08-22,COUNTRY 2,CAMPAIGN 2,Adset 2,6.23,1797,11
2018-09-10,COUNTRY 6,CAMPAIGN 6,Adset 6,22.24,5121,
2018-03-29,COUNTRY 4,CAMPAIGN 4,Adset 4,0.76,270,
2018-07-23,COUNTRY 6,CAMPAIGN 6,Adset 6,4.71,6466,13
2018-06-21,COUNTRY 4,CAMPAIGN 4,Adset 4,0.03,57,
2018-04-26,COUNTRY 6,CAMPAIGN 6,Adset 6,11.59,683,
2018-02-13,COUNTRY 4,CAMPAIGN 4,Adset 4,40.83,16704,239
2018-07-19,COUNTRY 2,CAMPAIGN 2,Adset 2,0.53,184,
2018-06-16,COUNTRY 3,CAMPAIGN 3,Adset 3,25.1,16549,91
2018-08-22,COUNTRY 1,CAMPAIGN 1,Adset 1,1.71,1240,5
2018-01-11,COUNTRY 4,CAMPAIGN 4,Adset 4,0.15,109,
2018-06-10,COUNTRY 2,CAMPAIGN 2,Adset 2,1.21,398,
2018-03-06,COUNTRY 1,CAMPAIGN 1,Adset 6,1.3,2367,5
2018-02-12,COUNTRY 1,CAMPAIGN 1,Adset 6,8.15,9416,9
2018-09-02,COUNTRY 1,CAMPAIGN 1,Adset 6,3.1,1255,7
2018-06-21,COUNTRY 1,CAMPAIGN 1,Adset 1,4.32,38984,5
2017-12-04,COUNTRY 4,CAMPAIGN 4,Adset 6,4.35,571,1
2018-05-18,COUNTRY 1,CAMPAIGN 1,Adset 6,15.17,14729,39
2018-06-07,COUNTRY 1,CAMPAIGN 1,Adset 6,98.15,54424,5
2017-12-23,COUNTRY 4,CAMPAIGN 4,Adset 6,0.13,104,2
2018-08-25,COUNTRY 2,CAMPAIGN 2,Adset 2,0.01,16,
2017-12-05,COUNTRY 4,CAMPAIGN 4,Adset 6,34.67,3759,12
2018-07-20,COUNTRY 1,CAMPAIGN 1,Adset 1,16.57,39623,39
2018-05-04,COUNTRY 2,CAMPAIGN 2,Adset 2,0.46,129,
2018-09-16,COUNTRY 2,CAMPAIGN 2,Adset 2,1.06,704,1
2018-03-15,COUNTRY 4,CAMPAIGN 4,Adset 4,0.2,60,
2018-01-31,COUNTRY 4,CAMPAIGN 4,Adset 4,0.03,8,
2018-08-08,COUNTRY 1,CAMPAIGN 1,Adset 6,6.11,3763,
2018-08-01,COUNTRY 2,CAMPAIGN 2,Adset 2,1.5,1026,1
2018-08-01,COUNTRY 3,CAMPAIGN 3,Adset 3,21.3,26309,92
2018-04-04,COUNTRY 6,CAMPAIGN 6,Adset 6,20.84,112842,351
2018-07-21,COUNTRY 4,CAMPAIGN 4,Adset 4,0.02,7,
2018-03-06,COUNTRY 4,CAMPAIGN 4,Adset 4,0.06,52,
2018-02-23,COUNTRY 4,CAMPAIGN 4,Adset 4,0.18,58,
2018-05-12,COUNTRY 2,CAMPAIGN 2,Adset 2,0.8,165,3
2018-05-21,COUNTRY 2,CAMPAIGN 2,Adset 2,1.53,613,3
2018-04-05,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,21,
2018-06-27,COUNTRY 1,CAMPAIGN 1,Adset 1,4.87,2851,5
2018-08-04,COUNTRY 4,CAMPAIGN 4,Adset 4,0.06,26,
2018-09-15,COUNTRY 2,CAMPAIGN 2,Adset 2,1.04,634,4
2018-06-25,COUNTRY 3,CAMPAIGN 3,Adset 3,174.13,87497,410
2018-05-21,COUNTRY 2,CAMPAIGN 2,Adset 2,1.48,370,2
2018-08-16,COUNTRY 2,CAMPAIGN 2,Adset 2,0.19,137,
2018-05-11,COUNTRY 6,CAMPAIGN 6,Adset 6,29.19,73631,184
2018-08-29,COUNTRY 1,CAMPAIGN 1,Adset 6,3.62,4334,10
2018-06-17,COUNTRY 2,CAMPAIGN 2,Adset 2,0.67,313,5
2018-09-12,COUNTRY 1,CAMPAIGN 1,Adset 6,2.04,822,2
2018-01-27,COUNTRY 4,CAMPAIGN 4,Adset 4,1.8,495,3
2018-07-01,COUNTRY 1,CAMPAIGN 1,Adset 6,7.43,55169,48
2018-05-18,COUNTRY 2,CAMPAIGN 2,Adset 2,0.13,60,1
2018-05-21,COUNTRY 2,CAMPAIGN 2,Adset 2,1.45,647,3
2018-03-03,COUNTRY 3,CAMPAIGN 3,Adset 3,1.62,978,
2018-06-03,COUNTRY 1,CAMPAIGN 1,Adset 6,10.54,4171,24
2018-09-02,COUNTRY 2,CAMPAIGN 2,Adset 2,4.66,1171,1
2018-08-03,COUNTRY 1,CAMPAIGN 1,Adset 6,7.33,14958,
2018-04-05,COUNTRY 1,CAMPAIGN 1,Adset 6,18.41,115206,19
2018-03-18,COUNTRY 4,CAMPAIGN 4,Adset 4,0.17,67,
2018-07-06,COUNTRY 2,CAMPAIGN 2,Adset 2,5.48,5170,34
2018-08-14,COUNTRY 2,CAMPAIGN 2,Adset 2,0.73,498,4
2018-09-05,COUNTRY 2,CAMPAIGN 2,Adset 2,29.6,15050,431
2018-04-28,COUNTRY 2,CAMPAIGN 2,Adset 2,5.39,1193,6
2018-09-12,COUNTRY 2,CAMPAIGN 2,Adset 2,3.72,1924,10
2018-05-10,COUNTRY 6,CAMPAIGN 6,Adset 6,37.55,8357,7
2018-08-27,COUNTRY 2,CAMPAIGN 2,Adset 2,0.23,259,2
2018-07-20,COUNTRY 1,CAMPAIGN 1,Adset 6,1.15,588,2
2018-03-26,COUNTRY 6,CAMPAIGN 6,Adset 6,2.41,808,9
2018-08-03,COUNTRY 4,CAMPAIGN 4,Adset 4,0,6,
2018-06-24,COUNTRY 3,CAMPAIGN 3,Adset 3,13.27,7792,5
2018-08-01,COUNTRY 1,CAMPAIGN 1,Adset 6,0.57,271,1
2018-08-11,COUNTRY 4,CAMPAIGN 4,Adset 4,0.02,12,
2018-03-18,COUNTRY 2,CAMPAIGN 2,Adset 2,1.75,904,2
2017-12-04,COUNTRY 6,CAMPAIGN 6,Adset 6,0.14,18,
2018-06-17,COUNTRY 2,CAMPAIGN 2,Adset 2,24.42,3020,
2018-07-28,COUNTRY 6,CAMPAIGN 6,Adset 6,14.41,12549,37
2018-04-20,COUNTRY 6,CAMPAIGN 6,Adset 6,10.55,10216,
2018-03-03,COUNTRY 2,CAMPAIGN 2,Adset 2,1.15,396,
2017-12-03,COUNTRY 1,CAMPAIGN 1,Adset 1,10.08,5777,60
2018-07-10,COUNTRY 3,CAMPAIGN 3,Adset 3,3.77,4061,31
2018-03-16,COUNTRY 2,CAMPAIGN 2,Adset 2,1.41,518,2
2017-12-26,COUNTRY 1,CAMPAIGN 1,Adset 6,9.5,2175,2
2018-01-23,COUNTRY 4,CAMPAIGN 4,Adset 4,0.52,189,
2018-02-17,COUNTRY 6,CAMPAIGN 6,Adset 6,8.84,4227,
2018-05-11,COUNTRY 1,CAMPAIGN 1,Adset 6,3.95,2049,18
2018-06-09,COUNTRY 1,CAMPAIGN 1,Adset 6,45.3,18888,
2018-07-11,COUNTRY 2,CAMPAIGN 2,Adset 2,0.83,331,
2018-01-08,COUNTRY 4,CAMPAIGN 4,Adset 4,0.03,13,
2018-06-18,COUNTRY 2,CAMPAIGN 2,Adset 2,0.41,137,2
2018-04-20,COUNTRY 4,CAMPAIGN 4,Adset 4,6.22,1787,22
2018-02-24,COUNTRY 4,CAMPAIGN 4,Adset 4,2.68,567,3
2018-03-20,COUNTRY 4,CAMPAIGN 4,Adset 4,0.02,18,
2018-06-13,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,84,3
2018-09-10,COUNTRY 1,CAMPAIGN 1,Adset 6,30.94,11378,16
2018-05-04,COUNTRY 1,CAMPAIGN 1,Adset 1,6.78,10430,60
2018-08-09,COUNTRY 1,CAMPAIGN 1,Adset 1,9.32,17098,4
2017-12-09,COUNTRY 4,CAMPAIGN 4,Adset 6,0.03,47,1
2018-09-10,COUNTRY 1,CAMPAIGN 1,Adset 6,3.43,1488,2
2018-05-12,COUNTRY 2,CAMPAIGN 2,Adset 2,0.36,190,
2018-09-11,COUNTRY 1,CAMPAIGN 1,Adset 6,7.94,2779,16
2018-08-24,COUNTRY 3,CAMPAIGN 3,Adset 3,0.06,403,1
2018-08-02,COUNTRY 1,CAMPAIGN 1,Adset 6,2.26,4731,
2018-01-04,COUNTRY 4,CAMPAIGN 4,Adset 4,0.11,36,
2018-05-22,COUNTRY 6,CAMPAIGN 6,Adset 6,31.48,28919,150
2018-04-08,COUNTRY 4,CAMPAIGN 4,Adset 4,0.07,18,
2018-07-23,COUNTRY 1,CAMPAIGN 1,Adset 1,1.95,2417,13
2017-12-07,COUNTRY 6,CAMPAIGN 6,Adset 6,1.95,4014,10
2018-02-12,COUNTRY 1,CAMPAIGN 1,Adset 6,11.81,3797,24
2018-02-25,COUNTRY 2,CAMPAIGN 2,Adset 2,0.68,204,
2018-03-31,COUNTRY 2,CAMPAIGN 2,Adset 2,0.51,70,
2018-01-12,COUNTRY 2,CAMPAIGN 2,Adset 2,13.68,3559,27
2018-06-02,COUNTRY 2,CAMPAIGN 2,Adset 2,0.64,247,2
2018-01-07,COUNTRY 4,CAMPAIGN 4,Adset 6,4.73,550,1
2018-03-27,COUNTRY 4,CAMPAIGN 4,Adset 4,1.22,317,1
2017-12-26,COUNTRY 4,CAMPAIGN 4,Adset 6,0.04,50,
2018-09-02,COUNTRY 1,CAMPAIGN 1,Adset 6,6.47,10163,59
2018-06-10,COUNTRY 4,CAMPAIGN 4,Adset 4,22.73,3622,13
2018-06-16,COUNTRY 2,CAMPAIGN 2,Adset 2,0.24,338,2
2018-04-19,COUNTRY 6,CAMPAIGN 6,Adset 6,17.04,12276,1
2018-08-15,COUNTRY 2,CAMPAIGN 2,Adset 2,0.74,397,2
2018-05-01,COUNTRY 2,CAMPAIGN 2,Adset 2,0.16,93,
2018-08-13,COUNTRY 1,CAMPAIGN 1,Adset 1,4.04,5774,15
2018-03-23,COUNTRY 6,CAMPAIGN 6,Adset 6,0.98,242,
2018-06-12,COUNTRY 4,CAMPAIGN 4,Adset 4,0.27,100,
2018-02-20,COUNTRY 2,CAMPAIGN 2,Adset 2,1.1,353,2
2018-04-04,COUNTRY 3,CAMPAIGN 3,Adset 3,0.02,16,
2018-07-17,COUNTRY 2,CAMPAIGN 2,Adset 2,4.97,2666,11
2018-06-04,COUNTRY 1,CAMPAIGN 1,Adset 6,1.21,1221,7
2018-01-13,COUNTRY 2,CAMPAIGN 2,Adset 2,3.04,517,6
2018-04-15,COUNTRY 2,CAMPAIGN 2,Adset 2,6.26,2599,34
2018-03-01,COUNTRY 1,CAMPAIGN 1,Adset 6,5.63,1881,6
2018-01-16,COUNTRY 1,CAMPAIGN 1,Adset 1,0.08,125,
2017-12-06,COUNTRY 4,CAMPAIGN 4,Adset 4,2.15,277,1
2018-03-10,COUNTRY 1,CAMPAIGN 1,Adset 6,0.96,1039,5
2018-09-03,COUNTRY 4,CAMPAIGN 4,Adset 4,0.13,28,
2018-03-06,COUNTRY 3,CAMPAIGN 3,Adset 3,2.27,1037,2
2017-12-22,COUNTRY 4,CAMPAIGN 4,Adset 6,0,2,
2018-06-07,COUNTRY 3,CAMPAIGN 3,Adset 3,23.97,19601,133
2018-05-15,COUNTRY 2,CAMPAIGN 2,Adset 2,0.73,363,5
2018-01-10,COUNTRY 2,CAMPAIGN 2,Adset 2,4.33,2589,32
2018-01-31,COUNTRY 4,CAMPAIGN 4,Adset 4,0.4,94,
2018-07-11,COUNTRY 2,CAMPAIGN 2,Adset 2,8.45,4181,12
2018-07-21,COUNTRY 1,CAMPAIGN 1,Adset 6,8.13,3521,9
2018-01-09,COUNTRY 4,CAMPAIGN 4,Adset 4,0,1,
2018-02-18,COUNTRY 2,CAMPAIGN 2,Adset 2,1.25,294,
2018-01-08,COUNTRY 1,CAMPAIGN 1,Adset 1,1.31,2636,36
2018-07-06,COUNTRY 1,CAMPAIGN 1,Adset 6,0.76,201,2
2018-09-05,COUNTRY 6,CAMPAIGN 6,Adset 6,80,16027,
2018-01-19,COUNTRY 4,CAMPAIGN 4,Adset 4,0.38,269,1
2018-08-20,COUNTRY 1,CAMPAIGN 1,Adset 6,10.55,18460,59
2018-06-13,COUNTRY 4,CAMPAIGN 4,Adset 4,0.13,289,12
2018-06-11,COUNTRY 1,CAMPAIGN 1,Adset 6,19.58,17404,82
2018-01-28,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,15,
2018-02-20,COUNTRY 1,CAMPAIGN 1,Adset 6,7.75,5343,15
2018-08-12,COUNTRY 6,CAMPAIGN 6,Adset 6,27.01,26550,68
2018-07-28,COUNTRY 1,CAMPAIGN 1,Adset 6,2.23,787,2
2018-07-15,COUNTRY 1,CAMPAIGN 1,Adset 6,10.83,18956,48
2018-06-18,COUNTRY 1,CAMPAIGN 1,Adset 1,0.23,790,4
2018-04-06,COUNTRY 4,CAMPAIGN 4,Adset 4,0.12,142,1
2018-03-31,COUNTRY 6,CAMPAIGN 6,Adset 6,5.78,2643,2
2017-12-29,COUNTRY 4,CAMPAIGN 4,Adset 6,0.06,8,
2018-09-03,COUNTRY 4,CAMPAIGN 4,Adset 4,2.55,1296,4
2018-01-08,COUNTRY 2,CAMPAIGN 2,Adset 2,1.83,410,4
2018-07-12,COUNTRY 2,CAMPAIGN 2,Adset 2,3.01,2121,3
2018-03-02,COUNTRY 4,CAMPAIGN 4,Adset 4,0.14,56,
2018-07-03,COUNTRY 4,CAMPAIGN 4,Adset 4,24.62,6480,46
2018-02-28,COUNTRY 2,CAMPAIGN 2,Adset 2,0.74,159,
2018-02-14,COUNTRY 4,CAMPAIGN 4,Adset 4,0,18,1
2018-02-28,COUNTRY 2,CAMPAIGN 2,Adset 2,1.19,335,1
2018-03-24,COUNTRY 1,CAMPAIGN 1,Adset 6,13.12,9580,171
2018-04-14,COUNTRY 1,CAMPAIGN 1,Adset 6,3.23,1400,4
2018-03-20,COUNTRY 1,CAMPAIGN 1,Adset 6,9.21,10873,167
2018-07-28,COUNTRY 2,CAMPAIGN 2,Adset 2,3.94,1501,2
2017-12-14,COUNTRY 4,CAMPAIGN 4,Adset 6,0.23,28,
2018-01-10,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,12,
2018-08-24,COUNTRY 2,CAMPAIGN 2,Adset 2,0.1,123,
2018-09-06,COUNTRY 1,CAMPAIGN 1,Adset 6,4.77,1825,5
2017-12-25,COUNTRY 1,CAMPAIGN 1,Adset 6,4.11,1348,10
2018-09-12,COUNTRY 2,CAMPAIGN 2,Adset 2,0.42,299,
2018-04-12,COUNTRY 6,CAMPAIGN 6,Adset 6,9.84,570,
2017-12-26,COUNTRY 1,CAMPAIGN 1,Adset 1,3.64,2103,13
2018-02-17,COUNTRY 6,CAMPAIGN 6,Adset 6,3.44,6084,5
2018-08-14,COUNTRY 1,CAMPAIGN 1,Adset 6,2.57,1078,6
2018-05-08,COUNTRY 2,CAMPAIGN 2,Adset 2,0.88,546,3
2018-03-26,COUNTRY 4,CAMPAIGN 4,Adset 4,0,14,
2018-09-07,COUNTRY 2,CAMPAIGN 2,Adset 2,2.69,1463,2
2018-09-13,COUNTRY 1,CAMPAIGN 1,Adset 1,69.56,66588,322
2018-05-10,COUNTRY 1,CAMPAIGN 1,Adset 6,21.24,115358,21
2018-02-20,COUNTRY 1,CAMPAIGN 1,Adset 6,4.43,1269,3
2018-04-07,COUNTRY 6,CAMPAIGN 6,Adset 6,5.55,3858,3
2018-01-14,COUNTRY 4,CAMPAIGN 4,Adset 4,0.49,254,4
2017-12-21,COUNTRY 1,CAMPAIGN 1,Adset 6,18.71,4619,62
2018-06-17,COUNTRY 1,CAMPAIGN 1,Adset 1,42.2,42747,149
2018-03-04,COUNTRY 2,CAMPAIGN 2,Adset 2,0.76,231,1
2018-04-16,COUNTRY 1,CAMPAIGN 1,Adset 6,16.05,80235,38
2018-07-28,COUNTRY 2,CAMPAIGN 2,Adset 2,2.21,1371,1
2018-07-29,COUNTRY 3,CAMPAIGN 3,Adset 3,18.15,7287,34
2018-07-14,COUNTRY 1,CAMPAIGN 1,Adset 6,5.07,4050,13
2018-09-07,COUNTRY 2,CAMPAIGN 2,Adset 2,2.67,1178,
2017-12-23,COUNTRY 4,CAMPAIGN 4,Adset 6,0,1,
2018-01-26,COUNTRY 1,CAMPAIGN 1,Adset 6,5.88,2642,2
2018-05-07,COUNTRY 2,CAMPAIGN 2,Adset 2,0.71,199,
2018-09-16,COUNTRY 1,CAMPAIGN 1,Adset 6,2.48,4759,
2018-03-11,COUNTRY 1,CAMPAIGN 1,Adset 6,23.33,24809,71
2018-06-29,COUNTRY 1,CAMPAIGN 1,Adset 1,2.84,17162,1
2018-09-01,COUNTRY 6,CAMPAIGN 6,Adset 6,29.76,11502,65
2018-08-08,COUNTRY 1,CAMPAIGN 1,Adset 1,8.8,9169,29
2018-02-20,COUNTRY 2,CAMPAIGN 2,Adset 2,1.45,337,3
2018-03-05,COUNTRY 6,CAMPAIGN 6,Adset 6,8.69,14553,9
2018-04-08,COUNTRY 4,CAMPAIGN 4,Adset 4,1.32,254,1
2018-04-23,COUNTRY 1,CAMPAIGN 1,Adset 6,20.1,29569,
2018-04-23,COUNTRY 6,CAMPAIGN 6,Adset 6,10.83,30604,97
2018-05-18,COUNTRY 1,CAMPAIGN 1,Adset 1,12.84,7432,23
2018-07-29,COUNTRY 2,CAMPAIGN 2,Adset 2,1.05,381,1
2018-08-22,COUNTRY 3,CAMPAIGN 3,Adset 3,2.38,1594,16
2018-08-24,COUNTRY 1,CAMPAIGN 1,Adset 1,15.53,14659,74
2018-07-30,COUNTRY 4,CAMPAIGN 4,Adset 4,0.07,69,1
2018-06-16,COUNTRY 2,CAMPAIGN 2,Adset 2,0.48,147,
2018-05-29,COUNTRY 2,CAMPAIGN 2,Adset 2,0.78,362,1
2018-05-01,COUNTRY 2,CAMPAIGN 2,Adset 2,3.55,1834,26
2018-06-10,COUNTRY 4,CAMPAIGN 4,Adset 4,1.13,260,1
2018-03-15,COUNTRY 1,CAMPAIGN 1,Adset 6,49.83,175798,123
2018-06-23,COUNTRY 4,CAMPAIGN 4,Adset 4,0.02,12,
2018-08-24,COUNTRY 1,CAMPAIGN 1,Adset 6,14.6,77330,14
2018-08-26,COUNTRY 2,CAMPAIGN 2,Adset 2,0.01,7,
2018-06-26,COUNTRY 1,CAMPAIGN 1,Adset 6,3.79,8605,
2018-06-27,COUNTRY 1,CAMPAIGN 1,Adset 1,1.57,2026,11
2018-01-28,COUNTRY 3,CAMPAIGN 3,Adset 3,0.25,71,
2018-08-02,COUNTRY 1,CAMPAIGN 1,Adset 6,0.63,484,1
2018-02-01,COUNTRY 4,CAMPAIGN 4,Adset 4,0.35,53,
2018-06-09,COUNTRY 2,CAMPAIGN 2,Adset 2,0.58,161,
2018-01-23,COUNTRY 4,CAMPAIGN 4,Adset 4,0.41,147,1
2018-08-06,COUNTRY 1,CAMPAIGN 1,Adset 6,9.93,19156,76
2018-06-09,COUNTRY 2,CAMPAIGN 2,Adset 2,0.41,234,2
2018-05-27,COUNTRY 2,CAMPAIGN 2,Adset 2,3.65,2274,20
2018-04-13,COUNTRY 3,CAMPAIGN 3,Adset 3,105.97,129160,253
2018-07-02,COUNTRY 1,CAMPAIGN 1,Adset 6,4.14,5844,
2018-07-21,COUNTRY 4,CAMPAIGN 4,Adset 4,1.03,432,1
2018-08-09,COUNTRY 2,CAMPAIGN 2,Adset 2,1.16,678,3
2018-06-14,COUNTRY 1,CAMPAIGN 1,Adset 6,14.53,12478,37
2018-04-29,COUNTRY 2,CAMPAIGN 2,Adset 2,0.54,211,1
2018-08-29,COUNTRY 6,CAMPAIGN 6,Adset 6,9.23,6221,5
2018-05-26,COUNTRY 2,CAMPAIGN 2,Adset 2,0.35,137,3
2018-05-11,COUNTRY 2,CAMPAIGN 2,Adset 2,1.36,345,
2018-09-09,COUNTRY 2,CAMPAIGN 2,Adset 2,2.04,881,4
2018-06-23,COUNTRY 2,CAMPAIGN 2,Adset 2,1.72,657,
2018-05-11,COUNTRY 2,CAMPAIGN 2,Adset 2,0.02,17,
2018-05-19,COUNTRY 1,CAMPAIGN 1,Adset 6,7.16,6003,9
2018-03-06,COUNTRY 1,CAMPAIGN 1,Adset 6,2.04,2369,2
2018-05-14,COUNTRY 2,CAMPAIGN 2,Adset 2,2.94,1176,10
2018-08-31,COUNTRY 2,CAMPAIGN 2,Adset 2,8.84,1570,19
2018-02-23,COUNTRY 2,CAMPAIGN 2,Adset 2,1.34,530,3
2018-06-08,COUNTRY 4,CAMPAIGN 4,Adset 4,23.39,5567,6
2018-07-04,COUNTRY 3,CAMPAIGN 3,Adset 3,12.79,13833,39
2018-08-15,COUNTRY 3,CAMPAIGN 3,Adset 3,8.75,36798,515
2018-05-28,COUNTRY 3,CAMPAIGN 3,Adset 3,32.17,29186,211
2018-09-07,COUNTRY 2,CAMPAIGN 2,Adset 2,1.75,398,2
2018-01-31,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,2,
2018-05-26,COUNTRY 2,CAMPAIGN 2,Adset 2,0.37,139,
2018-01-26,COUNTRY 4,CAMPAIGN 4,Adset 4,0.16,95,2
2018-01-27,COUNTRY 1,CAMPAIGN 1,Adset 6,8.32,1943,13
2018-05-06,COUNTRY 2,CAMPAIGN 2,Adset 2,2.01,645,2
2018-07-08,COUNTRY 3,CAMPAIGN 3,Adset 3,66.74,47298,225
2018-08-12,COUNTRY 1,CAMPAIGN 1,Adset 6,4.13,629,
2018-03-12,COUNTRY 3,CAMPAIGN 3,Adset 3,0.25,130,
2018-09-07,COUNTRY 2,CAMPAIGN 2,Adset 2,1.07,801,
2018-03-01,COUNTRY 4,CAMPAIGN 4,Adset 4,0.21,46,1
2018-08-26,COUNTRY 2,CAMPAIGN 2,Adset 2,0.74,464,
2018-03-13,COUNTRY 4,CAMPAIGN 4,Adset 4,0,1,
2018-06-25,COUNTRY 2,CAMPAIGN 2,Adset 2,1.17,651,3
2018-08-14,COUNTRY 4,CAMPAIGN 4,Adset 4,0.04,5,
2018-08-08,COUNTRY 2,CAMPAIGN 2,Adset 2,1.17,540,
2018-07-26,COUNTRY 1,CAMPAIGN 1,Adset 6,0.49,896,
2018-07-16,COUNTRY 4,CAMPAIGN 4,Adset 4,0.19,105,
2018-07-20,COUNTRY 2,CAMPAIGN 2,Adset 2,2.27,993,1
2017-12-17,COUNTRY 6,CAMPAIGN 6,Adset 6,10.32,21979,36
2018-05-20,COUNTRY 3,CAMPAIGN 3,Adset 3,40.38,22720,105
2018-01-04,COUNTRY 1,CAMPAIGN 1,Adset 1,29.19,58837,18
2017-12-31,COUNTRY 1,CAMPAIGN 1,Adset 6,4.81,4820,11
2018-09-12,COUNTRY 2,CAMPAIGN 2,Adset 2,0.03,26,1
2018-07-21,COUNTRY 1,CAMPAIGN 1,Adset 6,2.19,713,2
2018-09-14,COUNTRY 1,CAMPAIGN 1,Adset 1,0.04,42,
2017-12-30,COUNTRY 4,CAMPAIGN 4,Adset 4,0.18,47,
2018-09-16,COUNTRY 2,CAMPAIGN 2,Adset 2,1.29,859,3
2018-09-08,COUNTRY 2,CAMPAIGN 2,Adset 2,0.34,261,
2018-04-07,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,5,
2018-06-09,COUNTRY 2,CAMPAIGN 2,Adset 2,108.94,63016,957
2017-12-10,COUNTRY 4,CAMPAIGN 4,Adset 4,0.04,10,
2018-08-17,COUNTRY 2,CAMPAIGN 2,Adset 2,0.31,197,
2018-08-28,COUNTRY 2,CAMPAIGN 2,Adset 2,3.14,1820,21
2018-08-09,COUNTRY 4,CAMPAIGN 4,Adset 4,0.2,217,
2018-02-04,COUNTRY 1,CAMPAIGN 1,Adset 1,50.05,399110,
2018-04-18,COUNTRY 1,CAMPAIGN 1,Adset 6,4.05,1180,
2018-08-12,COUNTRY 1,CAMPAIGN 1,Adset 1,1.6,1620,6
2018-03-22,COUNTRY 4,CAMPAIGN 4,Adset 4,0,4,
2018-05-09,COUNTRY 2,CAMPAIGN 2,Adset 2,0.5,167,1
2018-03-28,COUNTRY 4,CAMPAIGN 4,Adset 4,10.38,1743,2
2018-07-07,COUNTRY 1,CAMPAIGN 1,Adset 6,2.35,674,2
2018-09-06,COUNTRY 1,CAMPAIGN 1,Adset 6,7.96,15107,57
2018-01-19,COUNTRY 4,CAMPAIGN 4,Adset 4,0.06,10,
2018-01-25,COUNTRY 1,CAMPAIGN 1,Adset 6,1.79,914,
2018-02-24,COUNTRY 4,CAMPAIGN 4,Adset 4,0.08,37,
2018-08-14,COUNTRY 2,CAMPAIGN 2,Adset 2,1.2,729,4
2018-03-09,COUNTRY 4,CAMPAIGN 4,Adset 4,0.11,39,
2018-06-24,COUNTRY 2,CAMPAIGN 2,Adset 2,1.2,359,2
2018-08-06,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,11,
2018-07-03,COUNTRY 2,CAMPAIGN 2,Adset 2,0.75,442,
2018-01-25,COUNTRY 4,CAMPAIGN 4,Adset 4,0.12,53,
2018-07-06,COUNTRY 1,CAMPAIGN 1,Adset 6,0.79,212,
2018-08-10,COUNTRY 2,CAMPAIGN 2,Adset 2,5.44,2692,8
2018-03-15,COUNTRY 4,CAMPAIGN 4,Adset 4,0,1,
2018-07-03,COUNTRY 1,CAMPAIGN 1,Adset 6,8.81,19728,
2018-03-12,COUNTRY 1,CAMPAIGN 1,Adset 6,21.72,29823,33
2018-01-31,COUNTRY 1,CAMPAIGN 1,Adset 1,0.09,136,
2018-06-03,COUNTRY 2,CAMPAIGN 2,Adset 2,0.38,140,
2018-07-20,COUNTRY 3,CAMPAIGN 3,Adset 3,9.93,6647,77
2018-05-28,COUNTRY 1,CAMPAIGN 1,Adset 6,6.15,25069,
2018-06-06,COUNTRY 1,CAMPAIGN 1,Adset 6,1.03,897,
2017-12-29,COUNTRY 1,CAMPAIGN 1,Adset 1,4.95,4280,28
2018-07-13,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,5,
2018-03-02,COUNTRY 4,CAMPAIGN 4,Adset 4,0.06,21,
2018-01-07,COUNTRY 4,CAMPAIGN 4,Adset 6,0.07,12,
2018-06-10,COUNTRY 4,CAMPAIGN 4,Adset 4,0.78,138,1
2017-12-21,COUNTRY 3,CAMPAIGN 3,Adset 3,0.01,17,
2018-08-12,COUNTRY 3,CAMPAIGN 3,Adset 3,23.25,5630,42
2018-09-16,COUNTRY 6,CAMPAIGN 6,Adset 6,26.04,69676,309
2017-12-29,COUNTRY 4,CAMPAIGN 4,Adset 4,0.61,80,
2018-07-05,COUNTRY 4,CAMPAIGN 4,Adset 4,2.48,666,
2018-06-22,COUNTRY 2,CAMPAIGN 2,Adset 2,9.87,6669,48
2017-12-16,COUNTRY 4,CAMPAIGN 4,Adset 4,0.1,84,
2018-09-01,COUNTRY 2,CAMPAIGN 2,Adset 2,112.78,53538,229
2018-04-16,COUNTRY 1,CAMPAIGN 1,Adset 1,7.36,10044,85
2017-12-19,COUNTRY 1,CAMPAIGN 1,Adset 1,0.38,433,6
2018-05-22,COUNTRY 2,CAMPAIGN 2,Adset 2,0.25,260,1
2018-04-25,COUNTRY 1,CAMPAIGN 1,Adset 1,33.17,32784,87
2018-08-11,COUNTRY 1,CAMPAIGN 1,Adset 6,9.4,14081,46
2018-03-23,COUNTRY 3,CAMPAIGN 3,Adset 3,76.46,93303,150
2018-08-21,COUNTRY 2,CAMPAIGN 2,Adset 2,0.29,331,3
2018-02-11,COUNTRY 1,CAMPAIGN 1,Adset 6,29.01,7742,46
2018-06-08,COUNTRY 1,CAMPAIGN 1,Adset 1,4.87,7810,28
2018-06-08,COUNTRY 6,CAMPAIGN 6,Adset 6,10.43,5870,47
2018-03-30,COUNTRY 3,CAMPAIGN 3,Adset 3,0.19,108,
